,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-10-01,24185129,629998632,26.15,26.25,26.0,26.1,-0.2,12723
1,2021-10-04,16122298,419729230,26.1,26.15,26.0,26.0,-0.1,7309
2,2021-10-05,17500039,453592570,25.9,26.0,25.85,25.9,-0.1,9226
3,2021-10-06,17223065,447524260,25.95,26.1,25.9,26.05,0.15,7546
4,2021-10-07,14558813,381721080,26.15,26.35,26.1,26.25,0.2,5420
5,2021-10-08,12716076,331140035,26.2,26.2,26.0,26.0,-0.25,6064
6,2021-10-12,24492414,636700594,25.9,26.15,25.85,26.15,0.15,6602
7,2021-10-13,11601428,303396802,26.2,26.3,26.05,26.15,0.0,5246
8,2021-10-14,10578804,276567313,26.15,26.3,26.0,26.1,-0.05,4051
9,2021-10-15,15316404,401008874,26.15,26.25,26.1,26.2,0.1,6799
10,2021-10-18,12179328,319166624,26.2,26.25,26.15,26.2,0.0,6035
11,2021-10-19,12195107,319941123,26.3,26.3,26.15,26.25,0.05,5110
12,2021-10-20,12746213,334862058,26.3,26.3,26.2,26.3,0.05,7036
13,2021-10-21,23098991,610679275,26.4,26.5,26.3,26.5,0.2,6888
14,2021-10-22,8515783,225302757,26.5,26.5,26.4,26.45,-0.05,3936
15,2021-10-25,9479199,249985401,26.45,26.45,26.3,26.35,-0.1,4233
16,2021-10-26,23461144,624126305,26.45,26.65,26.45,26.65,0.3,6626
17,2021-10-27,26612275,677824983,26.65,26.8,26.6,26.75,0.1,5889
18,2021-10-28,27772014,709642890,26.8,26.8,26.6,26.6,-0.15,5874
19,2021-10-29,33121835,846589036,26.4,26.6,26.35,26.55,-0.05,5472
