,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-09-01,55122184,1438666627,26.55,26.55,26.0,26.05,-0.55,22934
1,2021-09-02,33577808,877305817,26.1,26.25,25.95,26.25,0.2,8226
2,2021-09-03,22820006,599258167,26.25,26.4,26.15,26.3,0.05,6656
3,2021-09-06,21135154,554622114,26.3,26.35,26.1,26.25,-0.05,6845
4,2021-09-07,16512183,432145912,26.25,26.25,26.05,26.25,0.0,5154
5,2021-09-08,27289469,715407609,26.25,26.3,26.15,26.25,0.0,7560
6,2021-09-09,19390861,508491392,26.25,26.3,26.1,26.25,0.0,5143
7,2021-09-10,16748668,439342372,26.25,26.3,26.1,26.3,0.05,4850
8,2021-09-13,13863084,364186032,26.3,26.3,26.2,26.3,0.0,4854
9,2021-09-14,14606628,384811408,26.3,26.4,26.25,26.35,0.05,4771
10,2021-09-15,10612737,279406843,26.4,26.4,26.3,26.3,-0.05,5663
11,2021-09-16,14730943,387645443,26.3,26.4,26.2,26.35,0.05,4992
12,2021-09-17,34021122,894578553,26.35,26.4,26.25,26.25,-0.1,5692
13,2021-09-22,41213177,1066672264,25.95,26.0,25.8,25.9,-0.35,18847
14,2021-09-23,12783319,334544125,26.0,26.25,26.0,26.25,0.35,4516
15,2021-09-24,12368287,325514287,26.4,26.45,26.2,26.3,0.05,4392
16,2021-09-27,16292537,430021191,26.35,26.45,26.3,26.4,0.1,5385
17,2021-09-28,9491834,250095176,26.4,26.45,26.25,26.4,0.0,4102
18,2021-09-29,21834595,572974866,26.4,26.4,26.1,26.35,-0.05,7766
19,2021-09-30,19306844,506980550,26.35,26.35,26.15,26.3,-0.05,8571
