,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-08-02,24601111,659467926,26.6,26.9,26.6,26.9,0.4,7284
1,2021-08-03,11847266,318484628,26.9,26.95,26.8,26.95,0.05,3649
2,2021-08-04,14608130,392982140,26.9,26.95,26.85,26.9,-0.05,4686
3,2021-08-05,15985429,429669078,26.8,26.95,26.8,26.9,0.0,5443
4,2021-08-06,15172912,407651389,26.9,26.95,26.8,26.85,-0.05,4110
5,2021-08-09,22229899,595837540,26.85,26.9,26.65,26.9,0.05,5233
6,2021-08-10,17759475,477762855,26.9,27.0,26.8,27.0,0.1,5869
7,2021-08-11,13865597,373788795,27.0,27.0,26.9,27.0,0.0,4622
8,2021-08-12,17135323,462174019,27.0,27.0,26.9,27.0,0.0,5114
9,2021-08-13,17716488,476602177,27.0,27.0,26.85,26.95,-0.05,5525
10,2021-08-16,25243024,674789894,26.9,26.9,26.6,26.7,-0.25,7958
11,2021-08-17,30444548,815358726,26.7,26.95,26.65,26.95,0.25,8095
12,2021-08-18,28596475,769694530,26.9,27.0,26.75,27.0,0.05,8625
13,2021-08-19,36162640,972723765,26.95,27.0,26.8,26.95,-0.05,8451
14,2021-08-20,22445425,603034228,26.95,26.95,26.75,26.85,-0.1,6176
15,2021-08-23,25626883,689723860,26.95,27.0,26.85,26.9,0.05,6022
16,2021-08-24,52734757,1427035544,27.0,27.3,26.9,27.3,0.4,11603
17,2021-08-25,27187477,742795380,27.35,27.45,27.2,27.35,0.05,7652
18,2021-08-26,36242747,990938469,27.35,27.4,27.25,27.4,0.05,7312
19,2021-08-27,62140957,1710113851,27.4,27.7,27.3,27.7,0.3,15102
20,2021-08-30,75699641,2106071792,27.8,27.9,27.7,27.85,0.15,19747
21,2021-08-31,104915589,2746743903,26.0,26.6,25.9,26.6,0.0,26982
