,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-05-03,31391742,1034393047,33.6,33.65,32.6,32.7,-1.15,21563
1,2022-05-04,21493644,698774113,32.7,32.8,32.35,32.4,-0.3,9719
2,2022-05-05,26439529,852383268,32.75,32.8,32.0,32.1,-0.3,12654
3,2022-05-06,29565823,933071025,31.55,31.85,31.2,31.8,-0.3,13116
4,2022-05-09,33137580,1022845414,31.05,31.4,30.7,30.7,-1.1,15456
5,2022-05-10,59166933,1772130022,29.5,30.6,29.2,30.35,-0.35,15945
6,2022-05-11,32193870,982420393,30.25,30.7,30.2,30.65,0.3,9170
7,2022-05-12,45840377,1363257363,30.4,30.4,29.35,29.5,-1.15,22251
8,2022-05-13,49039342,1439010889,29.55,29.75,28.9,29.45,-0.05,15475
9,2022-05-16,30345691,883553591,29.0,29.5,28.9,29.1,-0.35,14942
10,2022-05-17,32810470,946090850,29.5,29.5,28.6,28.6,-0.5,18891
11,2022-05-18,50761839,1487069474,28.65,29.8,28.55,29.6,1.0,14688
12,2022-05-19,36531362,1051532208,28.95,29.0,28.6,28.75,-0.85,13082
13,2022-05-20,28343825,820629856,28.9,29.2,28.8,28.9,0.15,8084
14,2022-05-23,33559261,984913999,29.25,29.8,28.8,29.45,0.55,9387
15,2022-05-24,16357175,483578917,29.45,29.85,29.35,29.45,0.0,6410
16,2022-05-25,18671510,551647112,29.65,29.75,29.3,29.55,0.1,7090
17,2022-05-26,61741983,1781996670,29.35,29.4,28.7,28.8,-0.75,27195
18,2022-05-27,23390827,684289080,28.9,29.5,28.7,29.4,0.6,8095
19,2022-05-30,26412223,787750580,29.65,30.05,29.5,30.05,0.65,9536
20,2022-05-31,63810959,1935438663,30.0,30.6,29.6,30.6,0.55,8512
