,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-06-01,13190506,338972261,25.6,25.9,25.55,25.9,0.35,5062
1,2021-06-02,18157799,470880792,25.9,26.1,25.8,26.0,0.1,7863
2,2021-06-03,13634925,353480759,26.0,26.0,25.85,25.95,-0.05,5133
3,2021-06-04,9682020,250611712,25.85,25.95,25.8,25.95,0.0,3828
4,2021-06-07,10578787,273239818,25.9,25.95,25.7,25.9,-0.05,5002
5,2021-06-08,11431413,295222836,25.95,25.95,25.7,25.95,0.05,4864
6,2021-06-09,11417059,294086769,25.85,25.9,25.7,25.7,-0.25,4431
7,2021-06-10,9588441,247360320,25.7,25.9,25.7,25.85,0.15,3616
8,2021-06-11,10570561,272829964,25.85,25.9,25.75,25.8,-0.05,4012
9,2021-06-15,10851520,279066967,25.8,25.8,25.65,25.75,-0.05,5139
10,2021-06-16,21972265,564061107,25.65,25.75,25.6,25.6,-0.15,10212
11,2021-06-17,17688179,452347615,25.5,25.65,25.45,25.65,0.05,5002
12,2021-06-18,33312565,850505908,25.6,25.65,25.5,25.5,-0.15,8571
13,2021-06-21,21205361,539362955,25.4,25.65,25.35,25.45,-0.05,9362
14,2021-06-22,12706638,323646192,25.55,25.6,25.4,25.4,-0.05,5091
15,2021-06-23,16260178,418506940,25.5,25.9,25.45,25.9,0.5,6795
16,2021-06-24,11568933,300004034,25.95,26.0,25.8,25.95,0.05,4935
17,2021-06-25,17844127,465941856,26.0,26.2,25.95,26.15,0.2,6558
18,2021-06-28,14154363,371383809,26.2,26.3,26.2,26.25,0.1,5626
19,2021-06-29,19837748,518153492,26.25,26.25,26.0,26.15,-0.1,7090
20,2021-06-30,17606833,462146256,26.15,26.3,26.1,26.3,0.15,5584
