,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-04-01,5628349,270522970,48.35,48.4,47.9,48.0,-0.6,3213
1,2022-04-06,5948706,286148613,48.0,48.45,47.7,48.45,0.45,2945
2,2022-04-07,5343015,256843437,48.0,48.3,47.8,47.95,-0.5,3049
3,2022-04-08,3362374,161045137,47.95,48.0,47.8,47.8,-0.15,2308
4,2022-04-11,4873615,232315061,47.85,48.05,47.4,47.6,-0.2,2818
5,2022-04-12,6082487,288622645,47.6,47.8,47.2,47.2,-0.4,2887
6,2022-04-13,4593680,217564473,47.3,47.75,47.1,47.5,0.3,3767
7,2022-04-14,3584917,169565844,47.4,47.45,47.15,47.2,-0.3,2377
8,2022-04-15,3989298,187001660,47.0,47.2,46.7,46.9,-0.3,3164
9,2022-04-18,5116156,237898073,46.6,46.65,46.3,46.55,-0.35,3590
10,2022-04-19,4067794,190598436,46.55,47.0,46.55,46.95,0.4,2731
11,2022-04-20,5550669,261699237,47.0,47.35,46.85,47.35,0.4,3395
12,2022-04-21,7283048,347515671,47.5,48.0,47.3,47.7,0.35,5571
13,2022-04-22,3872097,183310847,47.6,47.6,47.1,47.55,-0.15,2602
14,2022-04-25,7491901,351307267,46.95,47.05,46.75,46.9,-0.65,2642
15,2022-04-26,2953905,139322959,46.85,47.45,46.85,47.2,0.3,2284
16,2022-04-27,6218454,292130602,46.75,47.3,46.55,47.1,-0.1,2787
17,2022-04-28,8842096,421138511,47.1,48.0,47.1,48.0,0.9,5601
18,2022-04-29,6140712,294867151,47.85,48.15,47.7,48.1,0.1,3225
