,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-05-03,2510233,119420496,48.0,48.0,47.4,47.5,-0.6,2207
1,2022-05-04,2809027,132992900,47.55,47.6,47.15,47.45,-0.05,1675
2,2022-05-05,2502987,118740790,47.45,47.6,47.3,47.45,0.0,2303
3,2022-05-06,4687079,220356577,47.0,47.45,46.75,47.2,-0.25,2567
4,2022-05-09,3969188,184421594,46.5,46.9,46.3,46.3,-0.9,2579
5,2022-05-10,4024459,185253556,45.95,46.2,45.65,46.15,-0.15,2728
6,2022-05-11,5373713,244662894,45.75,45.9,45.3,45.3,-0.85,3179
7,2022-05-12,6126260,273308438,44.85,45.05,44.25,44.4,-0.9,4441
8,2022-05-13,4468285,200445479,44.4,45.1,44.4,45.05,0.65,2839
9,2022-05-16,4793659,215591541,45.15,45.25,44.65,44.95,-0.1,3328
10,2022-05-17,3966755,178027233,45.25,45.35,44.75,44.75,-0.2,1952
11,2022-05-18,5015833,223790299,44.7,44.75,44.5,44.65,-0.1,3741
12,2022-05-19,7277877,317750118,44.2,44.25,43.2,43.65,-1.0,4802
13,2022-05-20,3965769,173872029,43.65,44.05,43.6,44.0,0.35,2483
14,2022-05-23,5159293,228064207,44.3,44.5,43.65,44.4,0.4,2040
15,2022-05-24,3134268,138399472,44.1,44.5,43.9,44.0,-0.4,1877
16,2022-05-25,4721079,210068265,44.05,44.75,44.0,44.75,0.75,2128
17,2022-05-26,2727732,121994544,44.8,45.0,44.5,44.5,-0.25,1598
18,2022-05-27,4055435,182654952,44.8,45.2,44.7,45.2,0.7,2404
19,2022-05-30,4130878,187965825,45.3,45.6,45.3,45.5,0.3,2732
20,2022-05-31,7884150,352373962,45.45,45.6,44.4,44.4,-1.1,2202
