,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-06-01,2692167,120955660,44.85,45.15,44.75,44.8,0.4,1808
1,2022-06-02,3610804,160609732,44.8,44.85,44.25,44.4,-0.4,2215
2,2022-06-06,4426680,196080243,44.4,44.6,43.95,44.35,-0.05,2684
3,2022-06-07,4536670,200941476,44.35,44.75,44.15,44.2,-0.15,2425
4,2022-06-08,4666168,208475220,44.5,44.85,44.35,44.8,0.6,2586
5,2022-06-09,4750658,211388166,44.5,44.8,44.3,44.65,-0.15,1921
6,2022-06-10,5363479,237424826,44.3,44.55,44.15,44.15,-0.5,2638
