,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-12-01,10842685,457555765,42.1,42.7,42.05,42.35,0.35,6352
1,2021-12-02,8177124,345140282,42.25,42.5,42.1,42.4,0.05,3852
2,2021-12-03,5044777,215517058,42.5,42.95,42.25,42.75,0.35,2957
3,2021-12-06,6359313,273166466,42.75,43.25,42.4,43.15,0.4,3722
4,2021-12-07,4879669,210851522,43.2,43.4,43.0,43.25,0.1,2889
5,2021-12-08,5708508,248094034,43.4,43.55,43.3,43.5,0.25,3334
6,2021-12-09,4913512,213393804,43.55,43.6,43.3,43.5,0.0,3049
7,2021-12-10,3386073,147113628,43.45,43.55,43.3,43.45,-0.05,1798
8,2021-12-13,6113639,264357383,43.45,43.65,43.0,43.0,-0.45,3689
9,2021-12-14,3953319,170378477,43.0,43.35,42.9,43.05,0.05,2012
10,2021-12-15,4883233,211949240,43.3,43.65,43.25,43.4,0.35,1983
11,2021-12-16,12502560,535622150,43.3,43.35,42.6,42.95,-0.45,5954
12,2021-12-17,32402436,1395628447,42.95,43.4,42.85,42.95,0.0,6989
13,2021-12-20,15552972,677114699,43.25,43.75,43.25,43.4,0.45,5595
14,2021-12-21,11699582,511687589,43.65,43.95,43.5,43.75,0.35,3314
15,2021-12-22,11260790,495117962,43.9,44.15,43.85,43.9,0.15,3013
16,2021-12-23,10764175,476407187,43.9,44.35,43.85,44.3,0.4,4214
17,2021-12-24,2658738,117633429,44.4,44.4,44.1,44.25,-0.05,3518
18,2021-12-27,2677227,118087688,44.25,44.25,44.0,44.15,-0.1,1562
19,2021-12-28,2179894,96206685,44.25,44.25,44.05,44.2,0.05,1341
20,2021-12-29,2223771,98337146,44.3,44.3,44.1,44.25,0.05,1126
21,2021-12-30,2657006,117597992,44.3,44.35,44.15,44.3,0.05,1336
