,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-08-02,14023385,738635946,52.7,52.8,52.5,52.8,0.2,6962
1,2021-08-03,45545154,2441886377,53.1,53.9,53.0,53.9,1.1,16031
2,2021-08-04,23552465,1271178027,54.2,54.5,53.6,53.8,-0.1,9940
3,2021-08-05,38673195,2050224696,53.8,53.8,52.6,52.7,-1.1,14252
4,2021-08-06,32500825,1714404302,53.2,53.2,52.4,52.9,0.2,9306
5,2021-08-09,33630358,1755733056,52.6,52.6,51.7,52.4,-0.5,11333
6,2021-08-10,34313716,1780541159,52.2,52.4,51.7,51.9,-0.5,11543
7,2021-08-11,59669569,3049740724,51.6,51.7,50.8,51.1,-0.8,24883
8,2021-08-12,87897408,4140954924,45.85,47.75,45.65,47.6,0.0,30427
9,2021-08-13,23823791,1150516862,48.05,48.6,47.95,48.4,0.8,12761
10,2021-08-16,26728439,1281549042,48.4,48.45,47.7,47.95,-0.45,12279
11,2021-08-17,25544445,1211673397,47.95,47.95,47.2,47.3,-0.65,11718
12,2021-08-18,25211046,1181293068,46.9,47.3,46.4,47.25,-0.05,12379
13,2021-08-19,26172172,1215272787,47.25,47.25,46.0,46.2,-1.05,17217
14,2021-08-20,19229307,889143439,45.9,46.75,45.7,46.15,-0.05,9518
15,2021-08-23,10490198,491369527,46.7,47.25,46.55,46.8,0.65,5847
16,2021-08-24,11011728,513738763,47.0,47.1,46.45,46.75,-0.05,6742
17,2021-08-25,8703206,408957799,46.8,47.25,46.55,47.2,0.45,4742
18,2021-08-26,13184942,618382991,47.2,47.3,46.6,46.95,-0.25,7265
19,2021-08-27,9381764,443303427,46.95,47.5,46.75,47.45,0.5,4767
20,2021-08-30,9216966,436479647,47.45,47.6,47.15,47.6,0.15,4981
21,2021-08-31,18403515,882882505,47.6,48.45,47.25,48.45,0.85,5426
