,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-02-07,304373205,16752435915,56.9,57.0,53.7,54.5,-2.8,131764
1,2022-02-08,146741680,8086859522,54.6,55.9,54.6,55.4,0.9,69929
2,2022-02-09,104595015,5868986383,56.3,56.8,55.7,56.0,0.6,45738
3,2022-02-10,114341052,6383450556,57.0,57.0,55.1,55.8,-0.2,46148
4,2022-02-11,84972540,4720107500,55.5,56.0,55.0,55.4,-0.4,38526
5,2022-02-14,160543749,8570961013,54.0,54.1,53.0,53.0,-2.4,87569
6,2022-02-15,100850321,5416903004,53.0,54.3,53.0,53.5,0.5,44846
7,2022-02-16,90864952,4943200380,54.6,54.9,54.1,54.1,0.6,41861
8,2022-02-17,68310921,3727481094,54.7,55.0,54.1,54.4,0.3,29160
9,2022-02-18,82216592,4413618054,53.8,54.0,53.5,53.7,-0.7,41252
10,2022-02-21,77342367,4157897262,53.3,54.4,53.0,53.8,0.1,34355
11,2022-02-22,112741123,5962656701,53.2,53.4,52.3,52.8,-1.0,56585
12,2022-02-23,56448462,3003144935,52.9,53.6,52.9,53.6,0.8,28554
13,2022-02-24,106503907,5568641316,52.8,53.2,51.7,51.8,-1.8,57541
14,2022-02-25,109311186,5735541360,53.0,53.3,52.0,52.1,0.3,48740
