,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-05-03,84742931,4035817555,47.7,48.5,47.1,47.25,-0.55,37907
1,2022-05-04,63296856,3022859966,47.35,48.3,47.35,48.3,1.05,21677
2,2022-05-05,104304351,5138004812,49.7,49.85,48.85,49.1,0.8,43955
3,2022-05-06,83033697,3993665453,47.45,48.55,47.4,48.55,-0.55,32219
4,2022-05-09,64054228,3100336530,48.5,49.0,47.9,47.9,-0.65,36564
5,2022-05-10,85245939,4089413936,47.0,48.9,46.85,48.9,1.0,32825
6,2022-05-11,98646989,4802393261,48.6,49.2,48.25,48.65,-0.25,36954
7,2022-05-12,70505371,3392971013,48.15,48.6,47.7,47.8,-0.85,38332
8,2022-05-13,74032345,3611868305,48.5,49.1,48.3,48.85,1.05,26906
9,2022-05-16,113273822,5638327400,49.75,50.3,49.3,49.45,0.6,42855
10,2022-05-17,90046056,4513745974,50.0,50.4,49.7,50.1,0.65,36807
11,2022-05-18,96004232,4897397320,51.0,51.3,50.7,50.9,0.8,41810
12,2022-05-19,87198490,4356514782,49.3,50.8,49.3,50.8,-0.1,36602
13,2022-05-20,55034004,2796583496,51.1,51.2,50.5,50.7,-0.1,20272
14,2022-05-23,51326592,2598202133,51.2,51.4,50.1,50.3,-0.4,22417
15,2022-05-24,70934684,3515909297,50.4,50.5,49.0,49.0,-1.3,40948
16,2022-05-25,55559490,2727938391,49.05,49.45,48.65,49.35,0.35,24096
17,2022-05-26,38858741,1930484854,49.9,50.2,49.3,49.4,0.05,16988
18,2022-05-27,44363749,2221349400,50.0,50.2,49.9,50.2,0.8,19256
19,2022-05-30,56562951,2876763377,51.0,51.4,50.5,51.0,0.8,21393
20,2022-05-31,91174553,4670197090,50.9,51.5,50.7,51.4,0.4,26053
