,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-07-01,93298609,4902640069,53.3,53.4,52.1,52.1,-1.0,36656
1,2021-07-02,65761082,3450983036,52.1,52.9,52.1,52.6,0.5,23664
2,2021-07-05,261523816,14196826551,53.0,55.2,52.8,54.4,1.8,92754
3,2021-07-06,144822076,7806135651,54.9,55.2,53.3,53.4,-1.0,54709
4,2021-07-07,105991674,5683197870,53.3,54.1,53.1,53.6,0.2,35870
5,2021-07-08,96052368,5131650310,53.9,54.1,53.0,53.1,-0.5,38079
6,2021-07-09,111351648,5818685837,52.5,52.8,51.9,52.2,-0.9,44502
7,2021-07-12,149279243,7997761164,53.6,54.3,52.9,53.2,1.0,44042
8,2021-07-13,261975318,14289962416,53.9,55.2,53.6,53.9,0.7,92754
9,2021-07-14,119847041,6514482642,54.8,55.0,53.6,54.0,0.1,41162
10,2021-07-15,182155940,10006659181,54.4,55.3,54.2,55.1,1.1,56284
11,2021-07-16,254836284,13644558607,53.5,54.2,53.0,53.7,-1.4,81970
12,2021-07-19,142678384,7534630142,53.4,53.4,52.5,52.6,-1.1,50529
13,2021-07-20,111149026,5832518586,52.3,53.1,52.1,52.4,-0.2,41707
14,2021-07-21,201374400,10355744297,53.0,53.1,50.2,50.8,-1.6,78205
15,2021-07-22,233371650,12120562781,51.1,52.8,50.8,52.0,0.0,66632
16,2021-07-23,208158788,11110269848,53.0,54.1,52.7,52.7,0.7,68362
17,2021-07-26,137792338,7429437189,54.0,54.4,53.6,53.7,1.0,42572
18,2021-07-27,118561484,6355294561,54.2,54.3,53.1,53.1,-0.6,35962
19,2021-07-28,199999316,10261061610,52.4,52.6,50.5,51.8,-1.3,68871
20,2021-07-29,437075578,23760926840,53.9,55.0,53.3,54.6,2.8,132593
21,2021-07-30,690359467,39827899349,55.8,59.9,55.8,57.8,3.2,241096
