,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-04-01,13119593,387735394,29.5,29.7,29.25,29.65,0.1,5599
1,2022-04-06,32478865,983855511,29.7,30.75,29.6,30.75,1.1,12665
2,2022-04-07,32762086,1000551907,30.75,31.0,30.05,30.05,-0.7,15984
3,2022-04-08,16087553,487350176,30.0,30.55,29.95,30.55,0.5,6023
4,2022-04-11,23510357,725140326,30.75,31.5,30.4,30.65,0.1,10519
5,2022-04-12,22230263,670480361,30.4,30.4,30.0,30.15,-0.5,9907
6,2022-04-13,15527105,470085554,30.2,30.55,30.05,30.35,0.2,6194
7,2022-04-14,26972488,803138557,30.25,30.3,29.55,29.55,-0.8,14815
8,2022-04-15,19429424,569131974,29.25,29.7,28.95,29.25,-0.3,9334
9,2022-04-18,24573768,701023227,29.0,29.0,28.1,28.55,-0.7,15462
10,2022-04-19,9587699,274588087,28.6,28.9,28.55,28.55,0.0,5353
11,2022-04-20,14595425,417787514,28.6,28.9,28.3,28.85,0.3,6490
12,2022-04-21,10520590,300807991,28.85,28.9,28.45,28.55,-0.3,6075
13,2022-04-22,15281735,436548152,28.25,28.9,28.1,28.85,0.3,6448
14,2022-04-25,18704741,529536440,28.3,28.5,28.15,28.3,-0.55,8884
15,2022-04-26,11572402,332315773,28.35,29.0,28.35,28.8,0.5,5355
16,2022-04-27,14432896,409878788,28.45,28.55,28.2,28.3,-0.5,7918
17,2022-04-28,20903335,587951006,28.3,28.4,27.9,28.2,-0.1,8959
18,2022-04-29,9379131,266867815,28.3,28.55,28.3,28.5,0.3,4197
