,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-07-01,7149132,151540158,21.2,21.3,21.1,21.2,-0.05,2740
1,2021-07-02,8353816,177140814,21.25,21.3,21.15,21.15,-0.05,2583
2,2021-07-05,7412828,158113877,21.2,21.4,21.2,21.35,0.2,2444
3,2021-07-06,8361192,179183579,21.35,21.5,21.3,21.45,0.1,3058
4,2021-07-07,7891982,168885607,21.4,21.45,21.35,21.45,0.0,2480
5,2021-07-08,6711672,143877677,21.45,21.5,21.4,21.4,-0.05,2332
6,2021-07-09,10816827,231389356,21.35,21.5,21.3,21.5,0.1,3030
7,2021-07-12,11426967,246064797,21.55,21.6,21.45,21.45,-0.05,4017
8,2021-07-13,9207460,198355532,21.5,21.6,21.45,21.6,0.15,3283
9,2021-07-14,7223096,156075952,21.55,21.65,21.55,21.65,0.05,2259
10,2021-07-15,6567104,141937289,21.65,21.65,21.55,21.65,0.0,2529
11,2021-07-16,10073880,218195225,21.6,21.7,21.55,21.7,0.05,3385
12,2021-07-19,12996116,280790677,21.6,21.75,21.5,21.7,0.0,3406
13,2021-07-20,7297528,157533235,21.6,21.65,21.55,21.55,-0.15,2815
14,2021-07-21,11176368,241778209,21.6,21.7,21.55,21.7,0.15,5235
15,2021-07-22,18234973,397911358,21.7,21.9,21.7,21.9,0.2,4097
16,2021-07-23,7930430,173857000,21.9,21.95,21.85,21.95,0.05,2965
17,2021-07-26,8473723,185641181,21.9,22.0,21.85,21.9,-0.05,3022
18,2021-07-27,10735271,234954984,21.9,21.95,21.8,21.95,0.05,2964
19,2021-07-28,12690457,277606630,21.9,22.0,21.8,21.95,0.0,4133
20,2021-07-29,9119272,199995475,21.95,22.0,21.85,21.95,0.0,3137
21,2021-07-30,15657532,343087083,21.95,22.0,21.85,21.85,-0.1,2851
