,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-06-01,4771604,100071495,20.95,21.05,20.9,21.0,0.05,1915
1,2021-06-02,8583593,180910761,21.0,21.15,21.0,21.1,0.1,3854
2,2021-06-03,4665375,98629794,21.2,21.2,21.1,21.15,0.05,1823
3,2021-06-04,5536313,116696827,21.15,21.15,21.0,21.05,-0.1,2175
4,2021-06-07,6554054,137385591,21.05,21.1,20.8,21.0,-0.05,2861
5,2021-06-08,5670314,119517904,21.1,21.15,21.0,21.15,0.15,2396
6,2021-06-09,7341547,154076318,21.05,21.1,20.9,20.95,-0.2,3539
7,2021-06-10,8026033,168255649,20.95,21.05,20.9,21.0,0.05,2340
8,2021-06-11,8015804,168586326,21.0,21.1,20.9,21.1,0.1,2568
9,2021-06-15,6683654,140945213,21.1,21.15,21.0,21.1,0.0,2888
10,2021-06-16,12580335,265126316,21.0,21.15,21.0,21.15,0.05,6101
11,2021-06-17,7266968,152882314,21.0,21.1,20.95,21.1,-0.05,2864
12,2021-06-18,25336785,528777807,21.0,21.1,20.8,20.8,-0.3,5943
13,2021-06-21,10176404,212192769,20.8,20.95,20.8,20.9,0.1,4416
14,2021-06-22,6992844,146769293,20.95,21.05,20.9,21.0,0.1,3147
15,2021-06-23,10703312,225845880,20.95,21.2,20.95,21.05,0.05,4245
16,2021-06-24,8452476,178625897,21.05,21.2,21.05,21.1,0.05,2792
17,2021-06-25,9277621,196840757,21.1,21.3,21.05,21.25,0.15,2897
18,2021-06-28,7059716,150489445,21.35,21.35,21.25,21.35,0.1,2768
19,2021-06-29,7789821,165736800,21.25,21.35,21.2,21.25,-0.1,2799
20,2021-06-30,10230481,217567719,21.25,21.35,21.2,21.25,0.0,3726
