,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-11-01,6593821,149237469,22.65,22.8,22.55,22.65,0.05,2715
1,2021-11-02,9194848,209255398,22.75,22.8,22.65,22.8,0.15,3003
2,2021-11-03,5187466,117844392,22.75,22.8,22.65,22.75,-0.05,2383
3,2021-11-04,5638977,128262989,22.8,22.85,22.7,22.75,0.0,1913
4,2021-11-05,4324436,98251240,22.7,22.8,22.65,22.8,0.05,2294
5,2021-11-08,11758325,267993363,22.85,22.9,22.75,22.8,0.0,2598
6,2021-11-09,10964219,250959345,22.8,23.0,22.75,23.0,0.2,3638
7,2021-11-10,18061672,414681003,23.0,23.1,22.95,23.1,0.1,4465
8,2021-11-11,6305749,145882893,23.1,23.2,23.05,23.2,0.1,2773
9,2021-11-12,11322915,264553152,23.2,23.45,23.2,23.45,0.25,4257
10,2021-11-15,16038678,379294075,23.45,23.85,23.45,23.55,0.1,5536
11,2021-11-16,13864555,325448420,23.55,23.55,23.35,23.45,-0.1,5903
12,2021-11-17,8609730,202963178,23.45,23.65,23.4,23.65,0.2,3719
13,2021-11-18,13960576,332768961,23.65,23.95,23.6,23.9,0.25,4279
14,2021-11-19,11672376,276933908,23.9,23.95,23.6,23.65,-0.25,5979
15,2021-11-22,7274541,171791550,23.6,23.75,23.55,23.7,0.05,3238
16,2021-11-23,9563006,225249770,23.7,23.75,23.45,23.5,-0.2,4340
17,2021-11-24,10243301,243152381,23.6,23.95,23.6,23.7,0.2,3681
18,2021-11-25,8156305,194221982,23.75,23.9,23.7,23.9,0.2,3730
19,2021-11-26,16233694,383848372,23.75,23.85,23.5,23.55,-0.35,8045
20,2021-11-29,12585435,296600580,23.4,23.75,23.4,23.55,0.0,4681
21,2021-11-30,38772619,919063788,23.6,23.75,23.4,23.75,0.2,5487
