,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-12-01,9333106,221902172,23.55,23.9,23.55,23.85,0.1,4489
1,2021-12-02,10018936,238456503,23.85,23.9,23.7,23.9,0.05,3376
2,2021-12-03,16553054,397640316,23.85,24.1,23.8,24.05,0.15,4888
3,2021-12-06,11681551,282105794,24.05,24.25,24.0,24.2,0.15,4530
4,2021-12-07,13186502,318973914,24.2,24.3,24.05,24.3,0.1,4851
5,2021-12-08,16172014,396493008,24.4,24.7,24.3,24.7,0.4,6188
6,2021-12-09,26458778,660399203,24.85,25.2,24.7,25.2,0.5,10406
7,2021-12-10,16705362,418172742,25.15,25.15,24.9,25.1,-0.1,9093
8,2021-12-13,16843750,424304288,25.2,25.45,25.0,25.0,-0.1,7127
9,2021-12-14,17568962,434363571,24.85,24.85,24.65,24.7,-0.3,7909
10,2021-12-15,9402845,232030995,24.75,24.85,24.6,24.65,-0.05,5113
11,2021-12-16,10182113,252592261,24.75,24.95,24.65,24.9,0.25,4840
12,2021-12-17,12520519,313241247,24.9,25.1,24.85,25.1,0.2,4090
13,2021-12-20,10533498,261702466,25.0,25.0,24.75,24.8,-0.3,5369
14,2021-12-21,7527238,187670721,24.8,25.0,24.8,25.0,0.2,2506
15,2021-12-22,3818800,95147322,25.0,25.0,24.85,24.95,-0.05,2384
16,2021-12-23,6594318,164863680,25.0,25.1,24.9,25.0,0.05,2635
17,2021-12-24,4932918,123431660,25.0,25.1,24.95,25.05,0.05,2092
18,2021-12-27,5925219,148245306,25.0,25.05,24.95,25.0,-0.05,2866
19,2021-12-28,14900759,375241545,25.0,25.45,25.0,25.35,0.35,4635
20,2021-12-29,11237864,285566220,25.35,25.5,25.3,25.5,0.15,5205
21,2021-12-30,9100254,231743833,25.45,25.55,25.4,25.45,-0.05,4296
