,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-08-02,87512356,3240284900,36.8,37.25,36.7,37.25,0.9,27668
1,2021-08-03,56480994,2069877778,36.95,36.95,36.3,36.9,-0.35,17890
2,2021-08-04,38113130,1403789662,36.9,37.15,36.6,36.8,-0.1,13231
3,2021-08-05,57283667,2066544459,36.6,36.7,35.85,36.0,-0.8,20588
4,2021-08-06,43138598,1545459023,35.8,36.15,35.4,35.85,-0.15,15060
5,2021-08-09,147522032,5460871403,36.1,37.5,35.9,37.45,1.6,46766
6,2021-08-10,74015352,2733593113,37.15,37.3,36.6,36.8,-0.65,24237
7,2021-08-11,135691677,5058081210,37.45,37.95,36.6,37.05,0.25,39336
8,2021-08-12,153507866,5794361839,37.3,38.1,37.15,38.0,0.95,47530
9,2021-08-13,96448354,3651804322,37.95,38.25,37.4,37.75,-0.25,28180
10,2021-08-16,110817587,4180852583,38.3,38.5,36.95,37.65,-0.1,34624
11,2021-08-17,110889852,4089536160,38.0,38.15,35.9,36.25,-1.4,40524
12,2021-08-18,90046246,3270165441,36.0,37.1,35.5,37.0,0.75,27641
13,2021-08-19,132543123,4743139394,36.6,36.65,35.3,35.3,-1.7,49269
14,2021-08-20,76345228,2685198086,35.5,35.8,34.7,35.1,-0.2,28997
15,2021-08-23,48748343,1743851183,35.55,36.2,35.55,35.65,0.55,16654
16,2021-08-24,54105120,1940953266,35.9,36.2,35.3,36.0,0.35,17897
17,2021-08-25,34869327,1253061074,36.25,36.25,35.65,36.0,0.0,12420
18,2021-08-26,115810244,4268154033,36.2,37.65,35.9,36.35,0.35,38080
19,2021-08-27,48663902,1789749779,36.45,37.1,36.25,36.9,0.55,17305
20,2021-08-30,101194549,3773481130,37.25,37.75,36.9,37.5,0.6,30285
21,2021-08-31,159163328,6015860327,37.5,38.2,37.2,38.15,0.0,48076
