,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-06-01,28494051,976423525,34.4,34.45,34.15,34.15,-0.5,15458
1,2022-06-02,25731934,869760984,33.9,33.95,33.7,33.75,-0.4,12384
2,2022-06-06,28128588,962998297,33.75,34.65,33.65,34.65,0.9,11110
3,2022-06-07,26233406,908349258,34.55,34.8,34.4,34.75,0.1,10751
4,2022-06-08,16138350,561072284,34.75,34.9,34.65,34.75,0.0,6970
5,2022-06-09,14149326,488103549,34.6,34.65,34.4,34.5,-0.25,6976
6,2022-06-10,17887660,616788196,34.3,34.65,34.2,34.5,0.0,5894
