,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-02-07,46231805,1568420966,33.5,34.25,33.4,34.25,0.6,15615
1,2022-02-08,48681847,1673088255,34.25,34.6,34.0,34.5,0.25,14353
2,2022-02-09,33909249,1181146888,34.7,35.0,34.65,34.95,0.45,14031
3,2022-02-10,65997753,2334503833,35.1,35.7,34.95,35.65,0.7,22761
4,2022-02-11,42943632,1532765204,35.6,35.9,35.5,35.7,0.05,15027
5,2022-02-14,31753043,1120792363,35.45,35.55,35.1,35.5,-0.2,15535
6,2022-02-15,25201716,889072951,35.55,35.55,35.0,35.05,-0.45,13027
7,2022-02-16,27501782,974131764,35.35,35.65,35.2,35.45,0.4,11514
8,2022-02-17,25011819,889076062,35.7,35.8,35.35,35.55,0.1,7917
9,2022-02-18,27756299,988299982,35.4,35.75,35.35,35.65,0.1,8899
10,2022-02-21,106731378,3881757366,35.65,36.65,35.5,36.45,0.8,32484
11,2022-02-22,58606996,2107472409,36.5,36.5,35.6,36.15,-0.3,26136
12,2022-02-23,25692867,926334697,36.0,36.4,35.8,36.05,-0.1,10429
13,2022-02-24,53247962,1885066162,35.8,35.8,35.15,35.25,-0.8,21721
14,2022-02-25,48711199,1741427814,35.45,36.0,35.3,36.0,0.75,15195
