,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-12-01,23981590,791264094,32.5,33.2,32.5,33.1,0.55,9724
1,2021-12-02,57958031,1948980643,33.1,33.95,33.1,33.9,0.8,19838
2,2021-12-03,49878738,1697845479,34.0,34.3,33.8,34.1,0.2,16830
3,2021-12-06,26548317,901286515,33.95,34.2,33.7,33.9,-0.2,12716
4,2021-12-07,54876730,1877983806,34.0,34.35,33.95,34.35,0.45,15757
5,2021-12-08,52550307,1809462800,34.5,34.85,34.1,34.1,-0.25,19750
6,2021-12-09,24551223,841824481,34.35,34.5,34.1,34.35,0.25,10160
7,2021-12-10,31299498,1076945288,34.55,34.7,34.2,34.2,-0.15,11715
8,2021-12-13,56122955,1946271166,34.4,34.9,34.35,34.6,0.4,18091
9,2021-12-14,34357940,1174198178,34.5,34.5,34.0,34.1,-0.5,14675
10,2021-12-15,22254310,761124170,34.2,34.35,34.0,34.25,0.15,11548
11,2021-12-16,23314172,799747574,34.35,34.5,34.1,34.35,0.1,9805
12,2021-12-17,187761229,6635653546,34.5,35.7,34.4,35.45,1.1,53959
13,2021-12-20,115622690,4149410955,35.9,36.35,35.6,35.6,0.15,37043
14,2021-12-21,77727591,2753772235,35.45,35.85,34.8,35.7,0.1,25502
15,2021-12-22,51997863,1853843999,35.7,35.8,35.5,35.65,-0.05,12365
16,2021-12-23,58411810,2067024780,35.6,35.65,35.1,35.5,-0.15,18136
17,2021-12-24,26979171,960596441,35.8,35.9,35.4,35.55,0.05,12256
18,2021-12-27,22686073,802085971,35.55,35.6,35.25,35.25,-0.3,9179
19,2021-12-28,23449248,823115305,35.4,35.45,35.15,35.4,0.15,7735
20,2021-12-29,35115917,1235691044,35.4,35.4,35.1,35.25,-0.15,12432
21,2021-12-30,18184351,642563361,35.3,35.4,35.25,35.35,0.1,6357
