,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-09-01,121328565,4631912313,38.25,38.65,37.75,37.75,-0.4,40639
1,2021-09-02,80065104,2996328837,38.0,38.1,37.0,37.0,-0.75,27663
2,2021-09-03,56921802,2139240202,37.4,37.95,37.2,37.45,0.45,18699
3,2021-09-06,260811157,10066914606,37.85,39.1,37.65,38.85,1.4,82253
4,2021-09-07,144136715,5565199769,39.0,39.1,38.15,38.5,-0.35,43395
5,2021-09-08,144905602,5540200253,38.5,39.2,37.35,37.6,-0.9,48864
6,2021-09-09,71659534,2723830139,37.45,38.35,37.35,38.35,0.75,23887
7,2021-09-10,193942603,7573383040,38.5,39.3,38.45,39.1,0.75,58958
8,2021-09-13,274667075,10969087759,39.2,40.2,39.15,40.05,0.95,82972
9,2021-09-14,152552433,6064177086,40.1,40.35,39.35,39.85,-0.2,47548
10,2021-09-15,111554006,4369552429,39.65,39.65,38.8,39.25,-0.6,37276
11,2021-09-16,109394207,4235077390,39.4,39.5,38.4,38.5,-0.75,36016
12,2021-09-17,148354900,5646700625,38.5,38.9,37.8,37.8,-0.7,44305
13,2021-09-22,159671723,5809126101,36.0,36.8,35.9,36.3,-1.5,55253
14,2021-09-23,120848019,4395681756,36.8,37.0,36.0,36.15,-0.15,38105
15,2021-09-24,120880537,4368919203,36.45,36.5,36.0,36.0,-0.15,38032
16,2021-09-27,81337263,2933013048,36.1,36.4,35.9,35.95,-0.05,25441
17,2021-09-28,64944106,2320657077,35.95,36.0,35.6,35.75,-0.2,25237
18,2021-09-29,98299054,3468072689,35.25,35.6,35.1,35.2,-0.55,37321
19,2021-09-30,79164177,2851325986,35.4,36.4,35.35,36.3,1.1,26768
