,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-08-02,7376244,1011342122,137.0,138.0,136.05,137.9,1.85,5273
1,2021-08-03,6224382,859255808,137.95,138.45,137.7,138.45,0.55,5115
2,2021-08-04,5642671,784584423,138.65,139.3,138.45,139.25,0.8,5413
3,2021-08-05,5840987,813087525,139.25,139.45,138.85,139.0,-0.25,6400
4,2021-08-06,4031604,558390394,138.9,139.0,137.8,138.8,-0.2,5590
5,2021-08-09,5186503,714762861,138.2,138.55,136.7,138.4,-0.4,5861
6,2021-08-10,2676946,369136949,138.45,138.5,137.5,137.65,-0.75,6027
7,2021-08-11,3867154,529729666,137.35,137.65,136.6,137.2,-0.45,7131
8,2021-08-12,2376688,325349900,137.2,137.25,136.5,136.95,-0.25,4386
9,2021-08-13,7816273,1061673383,136.6,136.85,135.55,135.65,-1.3,16810
10,2021-08-16,11135323,1506240702,135.5,135.75,134.9,135.35,-0.3,14444
11,2021-08-17,13757654,1854533694,135.4,135.5,134.3,134.35,-1.0,20363
12,2021-08-18,22162774,2958372270,133.6,134.95,132.45,134.9,0.55,20199
13,2021-08-19,28091032,3719709802,134.5,134.5,131.6,131.8,-3.1,41771
14,2021-08-20,16501498,2163648386,132.2,132.8,130.2,130.75,-1.05,20673
15,2021-08-23,6086614,814769062,132.25,134.45,132.15,134.35,3.6,7827
16,2021-08-24,5086550,685956249,135.2,135.35,134.6,134.75,0.4,4866
17,2021-08-25,7031858,954442277,135.15,136.1,135.15,136.05,1.3,6772
18,2021-08-26,7276078,997127716,137.45,138.0,136.35,137.0,0.95,6899
19,2021-08-27,16875047,2328482421,136.7,138.5,136.45,138.15,1.15,9673
20,2021-08-30,21974199,3054444066,138.65,139.5,138.45,139.5,1.35,15333
21,2021-08-31,16604451,2314461154,139.4,140.35,138.1,140.35,0.85,12191
