,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-10-01,28939270,3888671030,136.3,136.3,133.65,133.95,-3.1,44143
1,2021-10-04,24299469,3240409636,134.7,134.8,132.85,133.15,-0.8,27766
2,2021-10-05,28469257,3753464098,132.0,133.0,130.9,132.95,-0.2,36809
3,2021-10-06,22785877,3024603640,134.0,134.0,132.0,133.0,0.05,24818
4,2021-10-07,13826376,1866323932,134.05,135.6,133.95,135.35,2.35,9745
5,2021-10-08,7988089,1075930310,135.65,135.65,133.95,134.2,-1.15,9574
6,2021-10-12,11588565,1533572691,132.7,133.15,131.6,132.85,-1.35,16091
7,2021-10-13,5741940,761389812,133.4,133.6,132.15,132.4,-0.45,9324
8,2021-10-14,3441729,457703545,133.5,133.7,132.5,132.75,0.35,5211
9,2021-10-15,13728479,1862428212,134.65,136.35,134.3,136.25,3.5,11985
10,2021-10-18,5450752,743028806,136.7,136.9,135.6,135.85,-0.4,6738
11,2021-10-19,8666121,1186479700,136.2,137.25,136.05,136.95,1.1,5866
12,2021-10-20,14674356,2008846387,137.05,137.3,136.45,136.6,-0.35,11922
13,2021-10-21,13292564,1823893063,136.7,137.8,136.1,136.1,-0.5,9180
14,2021-10-22,5321361,725081014,136.25,136.75,135.65,136.5,0.4,4657
15,2021-10-25,7522325,1022937288,136.0,136.7,135.2,136.4,-0.1,7124
16,2021-10-26,10797704,1483480452,136.65,137.75,136.6,137.55,1.15,9789
17,2021-10-27,7527789,1031896075,136.95,137.55,136.7,137.55,0.0,5876
18,2021-10-28,4597622,630055512,137.45,137.65,136.6,137.15,-0.4,5081
19,2021-10-29,5145743,699434063,137.05,137.05,135.35,135.8,-1.35,6484
