,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-01-03,7064552,1034974917,146.0,147.35,146.0,146.4,0.9,8298
1,2022-01-04,10122789,1507398153,147.7,149.6,147.7,149.6,3.2,10438
2,2022-01-05,11730618,1755680824,150.1,150.55,149.1,149.3,-0.3,12614
3,2022-01-06,9085138,1342084958,148.3,148.75,147.0,147.9,-1.4,13496
4,2022-01-07,7435645,1095365963,148.3,149.0,146.5,146.6,-1.3,12008
5,2022-01-10,15979639,2346043879,146.0,147.8,145.4,147.55,0.95,8675
6,2022-01-11,17984061,2655717032,147.6,148.5,146.7,148.3,0.75,8365
7,2022-01-12,10326119,1541003375,149.35,149.6,148.7,149.55,1.25,6551
8,2022-01-13,7680333,1152220355,149.55,150.45,149.55,150.3,0.75,7281
9,2022-01-14,10400081,1560843189,150.8,151.2,149.05,150.3,0.0,9178
10,2022-01-17,7202412,1093229361,151.1,152.4,151.1,152.0,1.7,9817
11,2022-01-18,14811991,2242827500,152.2,152.25,150.15,150.3,-1.7,12127
12,2022-01-19,15371288,2288127587,149.0,149.65,148.25,148.5,-1.8,18846
13,2022-01-20,16845120,2499682717,148.5,149.2,147.6,149.1,0.6,16497
14,2022-01-21,32475644,4649317826,143.9,143.95,142.3,142.65,0.0,53966
15,2022-01-24,13767241,1965019247,142.1,144.0,141.7,144.0,1.35,17460
16,2022-01-25,25646145,3632621711,142.55,142.55,141.25,141.65,-2.35,39744
17,2022-01-26,18559075,2629997366,141.15,142.2,141.05,141.55,-0.1,21586
