,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-06-01,5710574,786076633,137.2,138.1,137.2,137.7,0.6,5200
1,2021-06-02,5118006,702947369,137.8,138.0,136.65,137.7,0.0,6240
2,2021-06-03,5137777,708745556,137.95,138.45,137.5,137.6,-0.1,5273
3,2021-06-04,3268847,446605239,137.0,137.0,136.3,136.95,-0.65,5297
4,2021-06-07,10994102,1502787769,137.2,137.4,134.65,137.3,0.35,13872
5,2021-06-08,3021521,413571142,137.3,137.5,136.5,136.5,-0.8,4359
6,2021-06-09,6289449,851835109,136.3,136.3,135.05,135.5,-1.0,8909
7,2021-06-10,6953916,953274453,136.0,137.85,135.8,137.6,2.1,7526
8,2021-06-11,3427869,473613244,138.1,138.5,137.85,138.1,0.5,4811
9,2021-06-15,4126481,572346206,138.6,139.0,138.4,138.85,0.75,6371
10,2021-06-16,7330366,1016261767,138.7,138.95,138.15,138.7,-0.15,7048
11,2021-06-17,3283653,452105710,137.8,138.3,137.15,138.3,-0.4,4057
12,2021-06-18,2249578,310815371,138.85,138.85,137.95,138.0,-0.3,3350
13,2021-06-21,16678832,2255922407,136.9,137.0,134.6,134.7,-3.3,25994
14,2021-06-22,6078865,820657527,135.6,136.05,134.5,134.85,0.15,9047
15,2021-06-23,6517135,887399669,135.0,137.15,134.8,137.05,2.2,5282
16,2021-06-24,6289676,861039047,137.05,137.25,136.45,136.7,-0.35,4263
17,2021-06-25,6623437,911180118,137.45,137.95,136.7,136.95,0.25,6284
18,2021-06-28,4090101,560920233,137.0,137.5,136.5,137.2,0.25,4724
19,2021-06-29,9131032,1259391696,137.9,138.7,137.3,137.6,0.4,5881
20,2021-06-30,9756709,1355932363,138.1,139.35,138.05,138.95,1.35,8757
