,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-12-01,4329326,603377795,138.1,140.5,138.05,140.3,2.3,5203
1,2021-12-02,9133260,1292045173,140.1,141.95,139.7,141.8,1.5,9601
2,2021-12-03,4946614,700928903,141.95,142.15,141.1,141.75,-0.05,4496
3,2021-12-06,4060985,573477544,140.7,141.9,140.0,141.35,-0.4,7070
4,2021-12-07,3157948,444889939,141.35,141.8,140.35,141.8,0.45,4881
5,2021-12-08,11183297,1596995575,143.1,143.6,142.3,142.35,0.55,9108
6,2021-12-09,4675110,664504401,142.45,142.65,141.7,142.0,-0.35,4259
7,2021-12-10,3436577,487665365,141.8,142.1,141.35,141.95,-0.05,4855
8,2021-12-13,4759881,676100133,142.2,142.45,141.5,141.5,-0.45,5027
9,2021-12-14,5027334,705014383,140.35,140.7,139.95,140.1,-1.4,9424
10,2021-12-15,10117615,1416798965,140.1,140.6,139.7,140.3,0.2,11074
11,2021-12-16,5763811,816635782,141.35,142.05,141.15,142.05,1.75,6419
12,2021-12-17,4979845,706093154,141.55,142.0,141.2,141.9,-0.15,5392
13,2021-12-20,4582532,645465862,141.8,141.85,140.3,140.65,-1.25,7866
14,2021-12-21,6716896,951161400,140.7,141.95,140.7,141.85,1.2,4760
15,2021-12-22,4146304,588113850,141.95,142.0,141.65,141.85,0.0,3235
16,2021-12-23,14116987,2012988793,142.75,143.2,142.25,142.65,0.8,5310
17,2021-12-24,12807935,1835254135,143.0,143.6,142.95,143.05,0.4,8437
18,2021-12-27,6838963,984397159,143.2,144.25,143.1,144.15,1.1,8693
19,2021-12-28,22888176,3315969575,144.3,145.3,144.3,145.3,1.15,9328
20,2021-12-29,22807731,3319821967,145.45,146.15,145.05,145.95,0.65,7510
21,2021-12-30,6421410,935379902,145.95,146.0,145.35,145.5,-0.45,5369
