,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-04-01,14232898,404661514,28.3,28.6,28.1,28.5,0.05,5001
1,2022-04-06,37625846,1098907298,28.5,29.75,28.45,29.75,1.25,14130
2,2022-04-07,37198891,1097965404,29.75,29.9,29.1,29.1,-0.65,18712
3,2022-04-08,17336695,507936049,29.15,29.5,29.0,29.5,0.4,6247
4,2022-04-11,24748008,734743558,29.5,30.0,29.35,29.65,0.15,10675
5,2022-04-12,16144756,476382307,29.35,29.65,29.25,29.6,-0.05,6369
6,2022-04-13,18215088,537034009,29.5,29.75,29.25,29.55,-0.05,6886
7,2022-04-14,28115459,812558653,29.5,29.5,28.6,28.6,-0.95,15201
8,2022-04-15,18243271,519450402,28.3,28.8,28.1,28.4,-0.2,6968
9,2022-04-18,26869512,744768293,28.2,28.2,27.25,27.8,-0.6,13322
10,2022-04-19,13418879,374259074,27.9,28.2,27.75,27.75,-0.05,6010
11,2022-04-20,17298734,480874204,27.75,28.1,27.45,28.1,0.35,6747
12,2022-04-21,14212425,395039344,28.1,28.15,27.6,27.7,-0.4,6505
13,2022-04-22,16788813,466011457,27.4,28.0,27.35,27.95,0.25,5793
14,2022-04-25,18675938,515027881,27.5,27.75,27.4,27.6,-0.35,7653
15,2022-04-26,17937859,502034525,27.65,28.35,27.6,28.0,0.4,6157
16,2022-04-27,14891211,413006755,27.75,27.95,27.6,27.65,-0.35,7415
17,2022-04-28,20407282,560861469,27.65,27.75,27.25,27.6,-0.05,7022
18,2022-04-29,10059268,279024492,27.6,27.95,27.55,27.8,0.2,3830
