,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-07-01,8491930,191563199,22.6,22.65,22.5,22.5,-0.2,2912
1,2021-07-02,7324576,164634620,22.5,22.55,22.45,22.45,-0.05,2783
2,2021-07-05,9023216,203166232,22.45,22.6,22.45,22.6,0.15,3258
3,2021-07-06,7575830,171108556,22.55,22.65,22.5,22.6,0.0,2914
4,2021-07-07,8389284,188611528,22.55,22.55,22.4,22.5,-0.1,2729
5,2021-07-08,8589335,193686444,22.55,22.65,22.5,22.55,0.05,2687
6,2021-07-09,12274945,276852471,22.55,22.65,22.45,22.65,0.1,3406
7,2021-07-12,11509163,261799265,22.7,22.85,22.65,22.7,0.05,3644
8,2021-07-13,11322886,257935032,22.8,22.8,22.75,22.8,0.1,3910
9,2021-07-14,10684457,244098735,22.8,22.9,22.8,22.9,0.1,3109
10,2021-07-15,7938245,181539024,22.85,22.9,22.85,22.85,-0.05,2905
11,2021-07-16,11038859,252529723,22.85,22.95,22.75,22.95,0.1,3540
12,2021-07-19,13063616,298627548,22.8,23.0,22.75,23.0,0.05,3173
13,2021-07-20,10527878,240235355,22.8,22.95,22.75,22.75,-0.25,3368
14,2021-07-21,12290685,280148163,22.75,22.9,22.7,22.85,0.1,5360
15,2021-07-22,11641969,266798638,22.85,22.95,22.75,22.95,0.1,3149
16,2021-07-23,16025423,368615155,23.0,23.1,22.95,23.0,0.05,3871
17,2021-07-26,14072661,322899898,23.1,23.15,22.8,22.85,-0.15,3979
18,2021-07-27,9056909,207212118,22.9,22.95,22.8,22.9,0.05,2522
19,2021-07-28,12633322,287618122,22.9,22.9,22.7,22.8,-0.1,4970
20,2021-07-29,8310436,189844034,22.85,22.9,22.75,22.9,0.1,3019
21,2021-07-30,16070479,366199904,22.85,22.9,22.75,22.75,-0.15,3428
