,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-06-01,6295948,139315524,22.0,22.2,22.0,22.2,0.2,2795
1,2021-06-02,12736792,283431087,22.15,22.3,22.15,22.3,0.1,5141
2,2021-06-03,6479836,144224951,22.35,22.35,22.2,22.25,-0.05,2908
3,2021-06-04,6153458,136342948,22.1,22.25,22.1,22.25,0.0,2445
4,2021-06-07,9778487,216036726,22.15,22.2,21.9,22.1,-0.15,3655
5,2021-06-08,8421689,186489829,22.2,22.2,22.05,22.15,0.05,2576
6,2021-06-09,5832108,128821382,22.15,22.15,22.05,22.1,-0.05,2464
7,2021-06-10,11195626,247290401,22.1,22.2,22.0,22.1,0.0,3092
8,2021-06-11,8496902,187897795,22.05,22.2,22.0,22.2,0.1,3203
9,2021-06-15,12196715,271392355,22.2,22.35,22.05,22.3,0.1,5401
10,2021-06-16,14377419,319699936,22.15,22.3,22.15,22.3,0.0,7003
11,2021-06-17,12843857,285562329,22.15,22.3,22.1,22.3,0.0,3371
12,2021-06-18,28545652,632813555,22.2,22.35,22.1,22.1,-0.2,6164
13,2021-06-21,15650018,346747424,22.0,22.35,22.0,22.35,0.25,4736
14,2021-06-22,11705131,260936344,22.3,22.35,22.25,22.25,-0.1,3677
15,2021-06-23,18619041,417198686,22.35,22.5,22.25,22.4,0.15,5501
16,2021-06-24,9191596,205824446,22.5,22.5,22.3,22.35,-0.05,2633
17,2021-06-25,9641526,216538250,22.4,22.5,22.35,22.45,0.1,2953
18,2021-06-28,9939270,224179481,22.45,22.6,22.45,22.6,0.15,3871
19,2021-06-29,10997859,247999767,22.55,22.6,22.5,22.55,-0.05,3289
20,2021-06-30,11486151,260222967,22.5,22.7,22.5,22.7,0.15,3764
