,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-06-01,32970903,18171598472,550.0,555.0,548.0,549.0,-11.0,33456
1,2022-06-02,26063495,14122936388,544.0,545.0,540.0,540.0,-9.0,30042
2,2022-06-06,23732327,12843324209,541.0,544.0,538.0,540.0,0.0,16614
3,2022-06-07,22152512,11846386906,535.0,538.0,532.0,535.0,-5.0,28586
4,2022-06-08,19609522,10636701303,539.0,545.0,538.0,544.0,9.0,18487
5,2022-06-09,16894479,9115934006,538.0,542.0,537.0,541.0,-3.0,18802
6,2022-06-10,22614596,12011615014,530.0,533.0,529.0,530.0,-11.0,44802
