,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-07-01,32678706,867330459,26.35,26.95,26.1,26.2,-0.15,9292
1,2021-07-02,7606493,198494784,26.2,26.3,26.0,26.0,-0.2,2254
2,2021-07-05,7827673,205755417,26.25,26.5,26.1,26.25,0.25,2627
3,2021-07-06,23954839,638699530,26.3,26.9,26.25,26.55,0.3,6383
4,2021-07-07,85898785,2379843180,26.7,28.7,26.6,27.5,0.95,27068
5,2021-07-08,22057272,604816874,27.9,28.0,27.1,27.2,-0.3,7143
6,2021-07-09,14636368,394637168,26.95,27.2,26.8,26.9,-0.3,3744
7,2021-07-12,19683280,536379490,27.15,27.65,26.9,26.9,0.0,5319
8,2021-07-13,15873832,425058515,27.1,27.3,26.5,26.65,-0.25,4256
9,2021-07-14,8617669,228747491,26.9,26.9,26.35,26.5,-0.15,2525
10,2021-07-15,9507463,253594195,26.65,26.85,26.5,26.85,0.35,2326
11,2021-07-16,32548550,894822656,26.9,27.9,26.85,27.75,0.9,8704
12,2021-07-19,19341994,536140701,27.8,28.25,27.4,27.5,-0.25,4921
13,2021-07-20,12246476,330197012,27.15,27.2,26.75,26.8,-0.7,4044
14,2021-07-21,10804036,289851594,27.05,27.1,26.6,26.8,0.0,3911
15,2021-07-22,9417236,253790115,27.0,27.05,26.8,26.85,0.05,2322
16,2021-07-23,7188843,195531803,27.1,27.3,27.05,27.25,0.4,2491
17,2021-07-26,10190658,275368295,27.35,27.4,26.8,26.85,-0.4,2526
18,2021-07-27,8387416,223074243,27.0,27.0,26.4,26.4,-0.45,2515
19,2021-07-28,8584520,224513575,26.4,26.45,25.95,26.3,-0.1,3218
20,2021-07-29,3872149,102823215,26.5,26.7,26.35,26.6,0.3,1250
21,2021-07-30,6999549,184659711,26.6,26.7,26.25,26.3,-0.3,1725
