,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-12-01,6548222,199782053,30.45,30.6,30.4,30.55,-0.1,1996
1,2021-12-02,11107392,338037765,30.5,30.6,30.4,30.5,-0.05,3242
2,2021-12-03,9015555,276313656,30.5,30.75,30.5,30.65,0.15,4019
3,2021-12-06,7351289,225583401,30.7,30.8,30.45,30.7,0.05,4819
4,2021-12-07,9438296,289900458,30.7,30.85,30.6,30.85,0.15,3994
5,2021-12-08,9874132,304125489,30.9,30.95,30.65,30.7,-0.15,3295
6,2021-12-09,8709025,267979911,30.75,30.9,30.7,30.8,0.1,2406
7,2021-12-10,11000816,339912960,30.8,31.0,30.75,30.8,0.0,4909
8,2021-12-13,11418608,353138692,30.85,31.0,30.85,30.95,0.15,36135
9,2021-12-14,9119542,280494689,30.9,30.9,30.7,30.85,-0.1,4252
10,2021-12-15,25594802,785178353,30.8,30.85,30.5,30.6,-0.25,8917
11,2021-12-16,35087357,1073136849,30.65,30.8,30.4,30.5,-0.1,8071
12,2021-12-17,124145625,3808460425,30.5,31.0,30.45,30.55,0.05,16648
