,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-08-02,4147176,109965772,26.35,26.7,26.35,26.6,0.3,1425
1,2021-08-03,3774665,100511067,26.6,26.7,26.55,26.7,0.1,1069
2,2021-08-04,3799488,101483279,26.8,26.85,26.65,26.7,0.0,1130
3,2021-08-05,9529611,255269188,26.75,27.05,26.6,27.0,0.3,2119
4,2021-08-06,5183261,138996619,27.0,27.0,26.75,26.75,-0.25,1391
5,2021-08-09,8297304,221208247,26.75,26.75,26.5,26.7,-0.05,1747
6,2021-08-10,11566488,310197114,26.75,27.1,26.6,26.9,0.2,2614
7,2021-08-11,25503105,691695185,27.05,27.35,26.9,27.1,0.2,6021
8,2021-08-12,13301395,358775707,27.25,27.25,26.85,26.9,-0.2,3273
9,2021-08-13,118392458,3359555049,28.95,28.95,27.75,28.3,0.0,27632
10,2021-08-16,48772436,1374713993,28.55,28.65,27.9,27.95,-0.35,9204
11,2021-08-17,24151847,677522169,28.0,28.2,27.95,28.15,0.2,5563
12,2021-08-18,23057878,652684311,28.05,28.5,28.0,28.5,0.35,6177
13,2021-08-19,27308641,778164348,28.5,28.8,28.15,28.35,-0.15,5195
14,2021-08-20,12393373,349293642,28.3,28.4,28.05,28.15,-0.2,2975
15,2021-08-23,10265448,290329500,28.2,28.4,28.2,28.35,0.2,2627
16,2021-08-24,10111215,286969372,28.4,28.5,28.25,28.5,0.15,2237
17,2021-08-25,12892325,368339478,28.45,28.7,28.4,28.65,0.15,2871
18,2021-08-26,7883811,225030302,28.65,28.65,28.45,28.6,-0.05,1628
19,2021-08-27,10171728,291662771,28.5,28.75,28.5,28.7,0.1,2497
20,2021-08-30,12875097,372277858,28.75,29.0,28.7,29.0,0.3,4095
21,2021-08-31,10504850,304048790,29.1,29.15,28.8,28.9,-0.1,2326
