,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-06-01,2107933,239414178,113.5,114.0,113.0,113.5,0.0,1317
1,2021-06-02,3814802,434155727,113.5,114.0,113.5,114.0,0.5,2831
2,2021-06-03,3620647,411892811,114.0,114.5,113.0,114.0,0.0,1942
3,2021-06-04,4233014,481804915,113.5,114.0,113.5,114.0,0.0,2218
4,2021-06-07,3625182,412386593,114.0,114.0,113.0,114.0,0.0,2194
5,2021-06-08,3876905,442711013,114.5,114.5,113.5,114.5,0.5,2200
6,2021-06-09,3313703,378329093,114.0,114.5,114.0,114.0,-0.5,1871
7,2021-06-10,3276473,374185944,114.0,114.5,113.5,114.5,0.5,1505
8,2021-06-11,5394857,618165756,114.5,115.0,114.0,114.5,0.0,2414
9,2021-06-15,4556068,521730193,114.5,115.0,114.0,114.5,0.0,2822
10,2021-06-16,6114741,700353301,114.0,115.0,114.0,115.0,0.5,3461
11,2021-06-17,3789193,432619381,114.0,114.5,114.0,114.5,-0.5,2061
12,2021-06-18,11998910,1365396977,114.0,114.5,113.5,113.5,-1.0,2802
13,2021-06-21,3949200,448702298,113.5,114.0,113.0,113.5,0.0,2024
14,2021-06-22,5105460,583325697,114.0,114.5,113.5,114.0,0.5,2611
15,2021-06-23,6331204,723755942,114.0,115.0,113.5,114.5,0.5,3715
16,2021-06-24,3201956,365751331,114.5,115.0,114.0,114.0,-0.5,1905
17,2021-06-25,3595766,410915430,114.0,114.5,114.0,114.5,0.5,1983
18,2021-06-28,3212081,367361830,114.5,115.0,114.0,114.0,-0.5,1941
19,2021-06-29,3868951,441780061,114.0,114.5,114.0,114.0,0.0,2440
20,2021-06-30,6548859,747506712,114.0,114.5,113.5,114.0,0.0,3783
