,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-12-01,8357457,942502269,112.0,113.0,112.0,113.0,1.0,4539
1,2021-12-02,6135520,696156355,113.0,114.0,112.5,114.0,1.0,3930
2,2021-12-03,4955844,563012079,113.5,114.0,113.0,113.5,-0.5,2726
3,2021-12-06,3216170,365891701,113.5,114.0,113.0,114.0,0.5,3046
4,2021-12-07,4561393,519340873,114.0,114.0,113.5,114.0,0.0,2563
5,2021-12-08,5398432,616548616,114.0,114.5,113.5,114.0,0.0,2454
6,2021-12-09,2821373,322185884,114.5,114.5,113.5,114.5,0.5,1827
7,2021-12-10,2891891,329958535,114.0,114.5,113.5,114.0,-0.5,2006
8,2021-12-13,4187236,475988782,114.0,114.5,113.5,113.5,-0.5,2007
9,2021-12-14,4497555,511439476,114.0,114.0,113.5,114.0,0.5,1871
10,2021-12-15,7621234,870898565,114.0,114.5,113.5,114.0,0.0,3509
11,2021-12-16,6265184,717989989,114.5,115.0,114.0,114.5,0.5,3202
12,2021-12-17,7288045,837589964,115.0,115.0,114.0,115.0,0.5,3432
13,2021-12-20,6016925,689696328,114.0,115.0,114.0,115.0,0.0,2535
14,2021-12-21,8291340,956754338,115.0,116.0,114.5,115.5,0.5,4429
15,2021-12-22,2966422,342893794,115.5,116.0,115.0,115.5,0.0,1854
16,2021-12-23,11384646,1313828402,116.0,116.0,114.5,115.5,0.0,4397
17,2021-12-24,7853663,907665919,115.5,116.0,115.0,115.5,0.0,3363
18,2021-12-27,4560268,528763131,115.5,116.5,115.5,116.0,0.5,2561
19,2021-12-28,6137878,712477207,116.0,116.5,115.5,116.0,0.0,2998
20,2021-12-29,9054971,1054407587,116.5,117.0,116.0,116.5,0.5,3042
21,2021-12-30,4167113,484876427,116.5,116.5,116.0,116.5,0.0,2518
